URL,Title,Abstract,Introduction
https://arxiv.org/html/2411.04686v1,Precision-Aware Iterative Algorithms Based on Group-Shared Exponents of Floating-Point Numbers,"Iterative solvers are frequently used in scientific applications and engineering computations. However, the memory-bound Sparse Matrix-Vector (SpMV) kernel computation hinders the efficiency of iterative algorithms. As modern hardware increasingly supports low-precision computation, the mixed-precision optimization of iterative algorithms has garnered widespread attention. Nevertheless, existing mixed-precision methods pose challenges, including format conversion overhead, tight coupling between storage and computation representation, and the need to store multiple precision copies of data. This paper proposes a floating-point representation based on the group-shared exponent and segmented storage of the mantissa, enabling higher bit utilization of the representation vector and fast switches between different precisions without needing multiple data copies. Furthermore, a stepped mixed-precision iterative algorithm is proposed. Our experimental results demonstrate that, compared with existing floating-point formats, our approach significantly improves iterative algorithms’ performance and convergence residuals.","Numerical simulations of many practical problems often rely on solving the linear equation system 𝑨⁢𝒙=𝒃𝑨𝒙𝒃\bm{A}\bm{x}=\bm{b}bold_italic_A bold_italic_x = bold_italic_b, where 𝑨𝑨\bm{A}bold_italic_A is an m×n𝑚𝑛m\times nitalic_m × italic_n sparse matrix, and 𝒙𝒙\bm{x}bold_italic_x and 𝒃𝒃\bm{b}bold_italic_b are dense vectors of sizes n𝑛nitalic_n and m𝑚mitalic_m, respectively. Iterative solvers such as conjugate gradient (CG) and generalized minimal residual (GMRES) methods are commonly used in practice. Sparse matrix-vector multiplication (SpMV) is a frequently used computational kernel in these algorithms, but it is also their primary performance bottleneck. The computational efficiency of SpMV is constrained by the memory access efficiency, making it a typical memory-bound kernel. With the continuous development of artificial intelligence technology, many computer hardware manufacturers have begun to support multiple precision data representations in their latest products. For example, NVIDIA’s latest H100 supports TF32, BF16, FP16, FP8 (E4M3 and E5M2), among others. This has inspired researchers to use mixed-precision techniques to optimize iterative algorithms. Compared to traditional iterative algorithms, which typically use a single floating-point format like FP64 or FP32, mixed-precision optimization introduces multiple-precision floating-point representations in iterative algorithms, reducing memory access and computational overhead, thereby improving the efficiency of iterative solving algorithms. As a key kernel of iterative algorithms, mixed-precision optimization of SpMV has attracted the attention of researchers [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]. The main idea behind these efforts is to select different-precision floating-point representations for non-zero elements (non-zeros) based on their magnitudes. For example, smaller values are stored in the single-precision floating-point format, while larger values are stored in the double-precision format, with both computations performed in double precision. In terms of mixed-precision optimization for iterative algorithms, current work mainly focuses on using different-precision floating-point representations in different statements or iterations [11, 12, 13, 14, 15]. Existing mixed-precision algorithms have improved the computational efficiency of iterative algorithms. However, using general-purpose floating-point representations introduces several challenges: (1) Lower utilization of binary bits: FP64 and FP32 have 11 and 8 exponent bits, respectively, and are two widely used floating-point representations. However, in specific applications, floating-point data may have particular numerical distributions, such as a small distribution range or most data being distributed around some points. In this case, the exponent field of the existing floating-point representations has a low binary bits utilization. (2) Tight coupling between storage and computation: In systems based on traditional floating-point formats, the precision used for storage is tightly coupled with the precision for computation, which sacrifices flexibility and limits the mixed-precision optimization of iterative algorithms. (a) Information entropy (b) Top-1 (c) Top-2 (d) Top-4 (e) Top-8 (f) Top-16 (g) Top-32 (h) Top-64 Figure 1: Non-zeros value distribution of sparse matrices. (a) Information entropy of non-zeros values, exponents, and mantissa. (b)-(h) Ratios of non-zeros corresponding to the top-k𝑘kitalic_k exponents. Based on the observations above and the observation that most non-zeros in a sparse matrix exhibit close or same exponents, this paper introduces an innovative mixed-precision iterative algorithm based on group-shared exponents. The core idea lies in the extraction and separate storage of shared exponents for a collection of floating-point numbers, thus freeing exponent bits for additional mantissa storage. This method boosts computational efficiency and improves the convergence of iterative computations with lower precision. This approach is practical because the separately stored shared exponents can be represented with more binary bits, preventing data overflow in computations. Moreover, by dedicating all bits, aside from the sign bit, to the mantissa representation, this approach improves the precision of data representation under bit-width constraints. The primary contributions of this paper include: • A new floating-point format is proposed, based on group-shared exponents and segmented storage of the tail, which eliminates the need for storing multiple copies of the same data in different precisions. • A stepped mixed-precision iterative algorithm optimization method based on the group-shared exponents’ floating-point format is proposed, which maintains the convergence property of the iterative algorithm while reducing the SpMV memory footprint overhead. • The optimization method for the mixed-precision iterative algorithm introduced in this paper has been validated on a GPU platform. Experimental results demonstrate that our proposed method improves the solving efficiency of the iterative algorithm and achieves similar residuals to high-precision iterative solvers. The remainder of this paper is organized as follows. Section II analyzes the numerical distribution of sparse matrices used in iterative algorithms. Section III describes our proposed new floating-point format and stepped mixed-precision iterative algorithm. Section IV evaluates the performance of the proposed approach. Section V discusses related work, and Section VI concludes the paper."
https://arxiv.org/html/2411.04561v1,Joint wireless and computing resource management with optimalslice selection in in-network-edge metaverse system,"This paper presents an approach to joint wireless and computing resource management in slice-enabled metaverse networks, addressing the challenges of inter-slice and intra-slice resource allocation in the presence of in-network computing. We formulate the problem as a mixed-integer nonlinear programming (MINLP) problem and derive an optimal solution using standard optimization techniques. Through extensive simulations, we demonstrate that our proposed method significantly improves system performance by effectively balancing the allocation of radio and computing resources across multiple slices. Our approach outperforms existing benchmarks, particularly in scenarios with high user demand and varying computational tasks.","As technology advances, the new wave of networks is blending virtual and augmented realities with our real world. This creates a whole new space called the metaverse, where the digital and physical worlds come together [1]. Creating and maintaining the Metaverse requires enormous resources, including computing resources for intensive data processing to support the Extended Reality, storage resources, and communication resources for maintaining ultra-high-speed and low-latency connections [2]. Given these demands for resources, there is a need for a solution that efficiently manages and allocates these diverse types of resources to power the applications and functionalities within the Metaverse. Network slicing, where multiple end-to-end networks are created on shared physical infrastructure, solves this problem. Different network slices can be used for specific applications or services [3]. They can also scale up and down according to the service requirements, and network resources to the metaverse can be allocated according to the demand to facilitate the recommended QoE to the user while optimizing the resource usage in the network. The metaverse consists of a large-scale number of virtual worlds that require interoperability with each other. These virtual worlds must be rendered in real-time and synchronized with the physical world. The MEC provides a distributed infrastructure located near the user, however it fails to meet concurrent user demands, which results in high delay and severely affects the full realization of the metaverse[4]. According to Internet Research Task Force (IRTF) [5], the Computing in the network (COIN) research group, 6G edge nodes acting as task executors are not only purpose-built servers. They encompass any edge node augmented with computing resources. This offers a promising solution, utilizing untapped network resources for task execution, thereby diminishing latency and fulfilling quality of experience (QoE) requirements. However, augmenting computing resources or enabling COIN increases power consumption [6]. Effectively allocating COIN resources in real-time to adapt to dynamic user demands while ensuring overall system availability still presents a critical challenge. Despite the advancement in resource management problems, challenges persist. Network slicing and in-network computing have been extensively investigated in the literature to address such challenges. Previous approaches assume each application is dynamically assigned to a specific slice with a static resource pool based on workload and SLA requirements [7]. However, dynamic assignment leads to mixed workloads in slices and consequently demands flexibility in managing these resources. Jošilo et al. [8] tackled the resource management and dynamic assignment of slices, by solving complex algorithms in an edge computing system, but with the presence of in-network computing, where multiple nodes act as potential task executors, efficiently managing these resources still remains a challenge. Unlike the above works, the authors in [9] used a Water-Filling-based heuristic algorithm to address joint network slicing and in-network computing resource allocation. However, their focus was solely on managing resources between slices (inter-slice) without considering the resource management issues within the slices (intra-slice). In this paper, we address the joint network slicing, inter-slice radio, intra-slice radio and in-network resource management problem and make the following key contributions: • We formulated the problem as a mixed-integer non-linear programming problem (MINLP) and achieved the optimal solution through a standard optimization solver. • We performed an extensive evaluation under different load and task settings and compared it against some benchmark solutions."
https://arxiv.org/html/2411.04538v1,Analysis of Blockchain Assisted Energy Sharing Algorithms with Realistic Data Across Microgrids,"With escalating energy demands, innovative solutions have emerged to supply energy affordably and sustainably. Energy sharing has also been proposed as a solution, addressing affordability issues while reducing consumers’ greed. In this paper, we analyse the feasibility of two energy sharing algorithms, centralized and peer-to-peer, within two scenarios, between microgrids within a county, and between microgrids across counties. In addition, we propose a new sharing algorithm named Selfish Sharing, where prosumers take advantage of consumers’ batteries in return for letting them consume part of the shared energy. The results for sharing between microgrids across counties show that the dependency on the grid could be reduced by approximately 5.72%, 6.12%, and 5.93% using the centralized, peer-to-peer and selfish sharing algorithms respectively, compared to trading only. The scenario of sharing between microgrids within a county has an average decrease in dependency on the grid by 5.66%, 6.0%, and 5.80% using the centralized, peer-to-peer and selfish algorithms respectively, compared to trading without sharing. We found that trading with batteries and the proposed sharing algorithms prove to be beneficial in the sharing between microgrids case. More specifically, the case of trading and sharing energy between microgrids across counties outperforms sharing within a county, with P2P sharing appearing to be superior.","The increasing energy need and the rising environmental issues that raising from utility grids, led more consumers to install energy generation tools, such as solar panels, to enable them to use energy in a more clean and affordable way. In Europe, the usage of renewable energy is targeted to be about 45% in 2030 [1]. In another interesting study, the number of homes with solar panels in the United States is expected to be 16.8 millions in 2032, compared to only 3.6 millions in 2022 [2]. Those consumers might still need energy and might generate energy more than what they need. In the case of generating energy more than needed, the consumers become energy providers, or what is called prosumers. With the spread of prosumers that are considered as distributed energy sources, microgrid term appeared. A microgrid brings together distributed power sources, loads, energy storage devices, and control devices to create a unified and manageable power supply system [3]. Figure 1 illustrates how the microgrid controller coordinates between the distributed energy resources, loads, and utility grid. Microgrid controller decides when to sell or buy from the utility grid, charges/discharges the energy storage, utilizes the renewable and distributed energy resources efficiently, and sends energy to loads when needed. Figure 1: Microgrid coordinating between distributed energy sources, loads, and utility grid. Peer-to-peer (P2P) energy trading between prosumers and consumers within or between microgrids was introduced to facilitate the transfer of energy between peers in more affordable way [4]. Some solutions utilized blockchains and smart contracts to provide the trading service in a decentralized and more reliable manners such as [5], where blockchain could be considered as an immutable, decentralized, distributed, auditable and transparent ledger that is managed by a consensus protocol [6]. Smart contracts on the other hand are programs that are hosted on the blockchain, where a group of people trusts the program to do some operations for them in a decentralized and transparent way [7]. Although P2P energy trading aims to offer the energy at a more affordable price, there are still some consumers or even prosumers not able to generate enough energy for their need, and not able to afford it as well. For instance, in Spain during the year 2021, energy poverty was 9.3% of the households, meaning approximately tenth of the households consumed energy less than the national median [8]. Decreasing energy poverty and enabling consumers to access energy when they need it and not being able to afford it have been addressed in studies such as [9], [10], and [11]. In this paper, we examine the effectiveness of previously proposed battery-based sharing algorithms between microgrids in two different scenarios. In addition, we propose a new sharing algorithm, namely Selfish Sharing. The main contributions are as follows: 1. An examination of the efficacy of previously proposed battery-based sharing algorithms for inter-microgrid sharing, investigated within two distinct scenarios: between counties and within a county settings. 2. Proposal of a novel sharing algorithm called Selfish Sharing, and assessment of its effectiveness within the aforementioned scenarios. In the proposed selfish sharing algorithm, prosumers share energy if they need it in the future where a percentage of this shared energy would be consumed by the receiving consumer, and the left shared amount would be stored on the consumer’s energy storage to be used by the sharing prosumer within a specific amount of time. By using blockchain, the proposed system enables the transactions to be handled between the peers directly without third party involvement, along with matching between the offers, trading requests, and sharing requests in a decentralized manner using smart contracts. 3. After analysing the simulation results of the proposed algorithms, we found that energy trading and sharing between microgrids across counties performs better than energy trading and sharing within a county. 4. Demonstration of the advantageous nature of incorporating energy storage systems to accumulate surplus energy for subsequent discharge during periods of demand, providing tangible benefits to prosumers. 5. Affirmation of the beneficial impact of both centralized and P2P sharing algorithms in facilitating energy sharing between microgrids. 6. From a monetary point of view, empirical evidence supports the superiority of the selfish sharing algorithm over P2P and centralized algorithms in the within a county sharing scenario. It also shows a comparative advantage over the centralized sharing algorithm in the between-counties sharing scenario, particularly in terms of decreasing dependency on the grid. In this paper, the term ”energy trading” refers to transferring energy for direct monetary return, while ”energy sharing” refers to transferring energy in return of a non-monetary form. The paper is organized as follows. Section II provides the literature review and Section III demonstrates the materials and methods. Section IV describes the experimental analysis, and Section V discusses the obtained results. Finally, Section VI states the conclusions."
https://arxiv.org/html/2411.04318v1,Intersections of Web3 and AI – View in 2024,"This paper summarises the intersection of Web3 and AI technologies, synergies between these technologies, and gaps that we suggest exist in the conception of the possible integrations of these technologies. The summary is informed by a comprehensive literature review of current academic and industry papers, analyst reports, and Ethereum research community blogposts. We focus our contribution on the perceived gaps and detail some novel approaches that would benefit the blockchain/Web3 ecosystem. We believe that the overview presented in this paper will help guide researchers interested in the intersection of Web3 and AI technologies.","We first need to address why we are interested in Artificial Intelligence (AI) at all in the context of Web3 and how general industry trends might affect our industry. Recent advancements in AI, particularly in Large Language Models (LLMs) such as GPT-4, have significant implications for businesses, and especially those in the software development sector. Studies have highlighted a shift in the anticipated impact of AI on labour markets and underscore the increasing relevance of AI in information processing and higher-skilled occupations. It is important to note that LLMs do not constitute the entire field of AI. AI is a complicated and nuanced field with many possible subcategorisations. At a high level, one might consider the subfield of machine learning to include deep neural networks (also called deep learning), supervised and unsupervised learning as well as many other techniques. The subfield of natural language processing (NLP) focuses on content extraction, classification, machine translation, question answering and text generation, with LLMs being the most modern and successful NLP techniques. Many other subfields exist, including expert systems, machine vision and machine speech systems, planning, and of course robotics. One important reason why it is so hard to categorise AI approaches is the rapidity with which they are combining with each other. McKinsey & Company has suggested that AI adoption within corporations should arguably be “domain focused” labour [58]. That is, a software development organisation should consider the software development domain and look for opportunities to use AI to assist software developers to perform their jobs more effectively. Importantly to software development organisations, McKinsey also found, “About 75 percent of the value that generative AI use cases could deliver falls across four areas: Customer operations, marketing and sales, software engineering, and R&D” [33]. In other words, business operations and software development activities make up the majority of LLM impacts on the labour market, which will naturally affect software development organisations disproportionally. It seems that companies related to science, technology, engineering and mathematics (STEM) that embrace the use of AI are likely to outperform those that do not [45]. The nature of work in the information economy is also anticipated to change drastically. “Current generative AI and other technologies have the potential to automate work activities that absorb 60 to 70 percent of employees’ time today” [23]. Thus, we can reasonably expect that jobs in the information economy will look very different in coming decades to what they do today. For software development companies this means a transformation in how software is created, tested, and maintained, with AI taking over routine coding tasks, enhancing productivity, and enabling developers to focus on more complex problem-solving and innovative work. 1.1 The Impact of AI on the Economy How will AI impact the economy and on what timescale? Although we cannot provide complete answers, we can provide some insights and intuitions. Before LLMs came onto the market, the Organisation for Economic Co-operation and Development (OECD) discussed the risks of automation in the context of robotics and the automation of manual tasks [5]. They concluded that 9% of jobs across 21 OECD countries were at risk of automation and emphasised that low-skilled workers were more vulnerable. That is, higher education levels were generally seen as protective against automation. The authors suggested that technological advancements would lead to changes in task structures rather than wholesale job losses, with a need for workforce retraining to mitigate the effects of automation on low-skilled jobs [5]. However, the release of advanced LLMs into the market introduced changes due to their natural language capabilities. By 2023, McKinsey Global Institute noted that the scope of AI extended beyond manual tasks to include complex information processing and creative tasks traditionally performed by more highly-educated workers [33]. The report estimated that nearly half of all work activities could be automated by current technologies, affecting jobs across various sectors. Subsequent academic studies have estimated similarly, with [23] finding 49% of jobs are likely to be impacted. McKinsey [33] estimated, “Generative AI could increase labor productivity by 0.1 percent to 0.6 percent annually over the next 10 to 20 years. When combined with other technologies, automation overall could contribute 0.5 to 3.4 percent annually to productivity growth, assuming labor is redeployed at today’s productivity levels and not including general equilibrium effects.” The impact on productivity would therefore seem to be a key driver of differentiation between those companies that embrace the technology and those who choose not to. Prudent application of these percentages would provide a way to estimate the appropriate level of spending on AI tooling: in order to gain a net value from AI tooling, an organisation needs to spend less on tooling than the productivity gains realised. However, these comparisons are inadequate when AI is further leveraged within an organisation to provide less quantifiable advantages, such as improved customer service, enhanced and novel product development utilising the syngergies of AI and Web3. Cautions are beginning to emerge from the research community on those promising productivity increases. A recent study by Cui et al noted that Microsoft Copilot was well adopted by both senior and junior developers, but the senior developers showed substantially less benefit from using the product [19]. The same phenomenon occurred when evaluating seniority by tenure at Microsoft. Worryingly, a 2024 study by Uplevel Labs noted, “Developers with Copilot access saw a significantly higher bug rate while their issue throughput remained consistent.” [66]. These concerns clearly indicate that the relationship of LLMs to productivity is not as clear as initially thought. To understand the possible time scales for mainstream economic adoption of AI we need to briefly discuss the nature of innovation, how it works and how it unfolds. The biologist Stuart Kauffman developed a “theory of organization” to explain biological evolution that he called the “adjacent possible” [37]. An organism builds itself and interacts with its environment but is limited to what it finds in that environment. That is, what is possible is limited by what is adjacent to an organism. Further, each new development adds to the possibilities present in the environment. W. Brian Arthur later noted that the same phenomenon occurs in technical innovation [6]. This is important to understand because our current observations of LLM orchestration with existing systems is very much an active exploration of the adjacent possible. Steven Johnson, looking into the nature of innovation, defined the 10/10 rule as “A decade to build the new platform, and a decade for it to find a mass audience.” [35] He noted that many technologies have followed this pattern, from hardware to software and including the Web. In contrast, he noted that some technologies skip that process and seem to arrive fully formed in very little time. His work explores the differences between those technologies that follow the 10/10 rule and those that manage to proceed faster. The question naturally arises, “Are LLMs a fast or slow technical process?” One might consider that the original attention mechanism paper was first published in preprint in 2014 [7]111First publishing in 2014 and last updated in 2016. Google’s “Attention is All You Need” paper followed three years later [67]222First publishing in 2017 and last updated in 2023. Here we are in 2024, fully 10 years later. What may seem like a rapid development has been in train for the last decade. LLMs seem, therefore, to be following the 10/10 rule and not the 1/1 step function that has often been inferred in breathless media reporting. We most likely will spend the better part of the next decade absorbing and integrating the capabilities brought by LLMs. 1.2 Unintended Consequences There will almost certainly be unintended consequences as AI feeds back on human use of the technologies. For example, human skills in new generations of users may encounter developmental limitations for problems where LLMs and other AI forms cannot help. Examples might include new feature development where the desired features have no representation in training sets and/or is not extractable from training. Such eventualities seem historically precedented and might slow development for certain categories of features and retain the reliance on a few highly-capable individuals who can creatively develop features impossible with AI. National governments other than those developing new AI systems are also wary of reliance on technology owned, controlled and accessed from countries such as the United States or China. We have seen similar concerns raised regarding reliance on, for example, social media, messaging systems, navigation systems, cloud computing and Internet governance. Smaller countries have become reliant at all levels from households to governments on foreign technical infrastructure. For example, the Reserve Bank of Australia recently noted that “financial institutions’ dependence on ‘a small number of AI’ could ‘create vulnerabilities due to a single point of failure” ’ [60]. 1.3 Structure of this Paper We begin this paper by providing a comprehensive literature review covering the intersection between Web3 and AI technologies in section 2, Literature Review. We focus especially on how these technologies could complement each other. We discuss the landscape of the intersection of Web3 and AI technologies (Web3xAI) and identify the key thought leaders. We follow by identifying the key interlinking technologies, and cover various proposals for the application of AI to Web3. We then categorise the various proposals for Web3xAI integration: • Sustainability • Non-LLM-based AI with Web3 utility • Ownership and copyright applications • Philosophical and ethical implications • Future prospects and research directions identified by others In section 3, Research Gap Analysis, we identify new potential research directions not found in the literature review. In section 4, Risks and Mitigations we identify a series of common risks when working with AI in general and LLMs in particular. In section 5, Research Directions, we suggest research directions based on our gap analysis and lessons learned so far. Finally, we conclude by summarising the key points discovered to date."
https://arxiv.org/html/2411.04271v1,OpenFLAME: Building a large scale federated localization and mapping servicehttps://openflam.github.io,"The widespread availability of maps has enabled the development of numerous location-based applications, including navigation, ride-sharing, fitness tracking, gaming, robotics, and augmented reality. Today, the maps that power these services are predominantly controlled by a few large corporations and mostly cover outdoor spaces. As the use of these applications expands and indoor localization technologies advance, we are seeing the need for a scalable, federated location management system that can extend into private spaces.We introduce OpenFLAME111FLAME is short for Federated Localization and Mapping Engine., the first federated and decentralized localization service. OpenFLAME links servers that handle localization for specific regions, providing applications with a seamless global view. Creating a federated localization system poses challenges, such as discovering the appropriate servers for a region and integrating services managed by independent providers. To address these issues and ensure scalability, we leverage Domain Name System (DNS) for service discovery and implement map abstractions to retrieve and merge locations across different maps. Our trace-driven study demonstrates that federated localization across remote servers is feasible with acceptable query latencies. To highlight the potential of the system, we developed an augmented reality navigation application for a large indoor space, showing that OpenFLAME can successfully power location-based applications.","The proliferation of digital maps has facilitated the emergence of a wide range of location-based applications, including, but not limited to, navigation, ride-sharing, gaming, first-responder support and robotics. At present, the mapping infrastructure that supports these services is hosted by a limited number of corporations (e.g., Google and Apple) and is primarily focused on outdoor environments driven by wide-area positioning systems like GPS. However, we are now seeing accurate localization moving indoors with the maturation of approaches such as machine learning-based image matching and Time-of-Flight ranging (e.g., compact LiDAR and UWB), both of which are becoming standard on smartphones [37, 36, 61, 56]. This shift indoors opens the potential for new capabilities like persistent Augmented Reality (AR) content, while also naturally increasing the coverage of existing location-based services. Unfortunately, this shift indoors brings new challenges in terms of scale and privacy that completely disrupt our traditional centrally managed mapping infrastructure. The storage and cartography effort required for indoor spaces far outweighs that of outdoor maps which tend to be relatively sparse in terms of landmarks and features. Outdoor maps are generated using satellite and aerial photographs that are refined by ground-based vehicles equipped with GPS. Some estimate that there could be more than 100 billion square feet (and growing) of indoor space in the world [10]. Surveying this space will require a huge effort and it would be extremely difficult to align landmarks in a global reference frame, such as the latitude and longitude of the GPS. As technology evolves, we will see a mixture of maps created at different quality levels and resolutions. Most importantly, there is an increased sensitivity in terms of privacy when it comes to indoor spaces. Many organizations, such as stores, would benefit from accurate localization for applications such as product search [8, 39], but would not be willing to publicly host detailed maps. This becomes even more of an issue in more private homes or office spaces. Indoor maps contain sensitive information that needs to be owned and controlled by the owner of the physical space. We have already begun to see existing commercial solutions, such as Google’s Geospatial API [24], Niantic’s Lightship VPS [44], and Apple’s GeoTracking [6], attempt to scale image-based localization to a global level with significant drawbacks. These solutions require collecting location imagery of the environments beforehand by company affiliates (e.g., Google Street View cars [26], Niantic surveyors, and developers [44]). A 3D map of scanned locations is constructed using the collected data. These maps are then used to localize devices based on their query images. An application built on one of these services is tied to the availability of their particular infrastructure. For example, it is not possible for an AR application built on Niantic Lightship VPS to extend its user base to a city not supported by Niantic, even if it is supported by Google’s Geospatial API. These applications are also limited to the technology used by the service provider. For example, they cannot take advantage of the rapid improvement in localization techniques that is happening in academia until the service provider implements them. In this paper, we present OpenFLAME, the first design of a federated localization and mapping service. OpenFLAME is organized into ‘map servers’ – independent localization services deployed by potentially disparate parties. OpenFLAME provides the means to discover and tie these services together so that applications get a unified view of the world. ‘Maps’ in OpenFLAME capture both true-to-scale spatial data that can be used for localization (e.g. dense point clouds used for visual positioning systems) and the more traditional symbolic relationships between landmarks (§ 5). Spatial data are used for positioning, while symbolic data can be used as a context for applications. Building a federated localization service comes with several challenges. Unlike centralized services where the application knows which localization service to contact, OpenFLAME must discover map servers that provide a localization service for the region where the device is located. Rather than relying on a central spatial database, we repurpose the Domain Name System (DNS) to discover map servers. The device’s coarse location information is converted to a list of DNS-compatible domain names called geo-domains. We query the DNS with these geo-domains to get a list of map servers. Our system uses the existing DNS infrastructure without changes in implementation. As a result, OpenFLAME can be easily adopted. Organizing the localization service into independent maps introduces the problem of consistency between maps. A straightforward technique to ensure consistency is to enforce all maps to conform to the global coordinate system of latitudes and longitudes. However, aligning an indoor map accurately with the geographic coordinate system is a notoriously difficult problem [19, 45]. Aligning indoor maps with centimeter-level accuracy, where commodity GPS receivers have an error of 10-20 m, needs expensive survey equipment such as RTK GNSS [59] and total stations [60]. Therefore, in OpenFLAME we do not enforce such constraints. All maps operate in their own local coordinate systems. We use a simple map abstraction of ‘waypoints’ to implicitly align overlapping maps. This abstraction enables applications built on top of OpenFLAME to consistently transition between map boundaries. In summary, our contributions are as follows. • We present the first design of a federated and scalable mapping and localization service (§ 3). • We show how a spherical indexing system (S2 [28]) can be used to repurpose the DNS into a spatial database. We use it to discover map servers hosted in a region (§ 4). • We introduce a simple map abstraction that removes the need for maps to be aligned with each other in a geographic coordinate system (§ 5) while still maintaining consistency across map boundaries. To show that OpenFLAME can power future location-based applications, we built an Augmented Reality (AR) indoor application on top of it. Our application guides users to their destination by rendering arrows on a smart phone’s camera feed. We evaluate the core metrics of our service in § 8. 222We demo some tools built for OpenFLAME on https://openflam.github.io. We highly encourage readers to try them out."
https://arxiv.org/html/2411.04159v1,Cooperation and Personalization on a Seesaw: Choice-based FL for Safe Cooperation in Wireless Networks,"Federated learning (FL) is an innovative distributed artificial intelligence (AI) technique. It has been used for interdisciplinary studies in different fields such as healthcare, marketing and finance. However the application of FL in wireless networks is still in its infancy. In this work, we first overview benefits and concerns when applying FL to wireless networks. Next, we provide a new perspective on existing personalized FL frameworks by analyzing the relationship between cooperation and personalization in these frameworks. Additionally, we discuss the possibility of tuning the cooperation level with a choice-based approach. Our choice-based FL approach is a flexible and safe FL framework that allows participants to lower the level of cooperation when they feel unsafe or unable to benefit from the cooperation. In this way, the choice-based FL framework aims to address the safety and fairness concerns in FL and protect participants from malicious attacks.","The growing scale and heterogeneity of wireless networks have boosted the applications of data-driven artificial intelligence (AI) algorithms in wireless networks. Federated learning (FL) is an innovative distributed AI technique that allows participants to train models cooperatively without sharing data. It has been rapidly promoted in recent years by the research community with the benefits of privacy preservation and the utilization of on-device intelligence [zhang2023device]. However, the practical application of FL in wireless networks is still in its infancy. It has not yet gained widespread acceptance in the industry, mainly due to the security concerns and inherent problems of the cooperative mechanism. The distributed and open system architecture introduces new threats and makes FL models more vulnerable to poisoning attacks compared with centralized machine learning models [zhang2023distributed]. Several existing studies explore how to defend against vulnerabilities and enhance the security of FL models. Some commonly used defense schemes include anomaly detection, trusted execution authentication, and robust model aggregation. Nevertheless, these state-of-the-art defense techniques have adopted a sporadic approach, incorporating add-on techniques into the FL framework in a fix-and-patch manner. In addition, the attackers are becoming intelligent and can learn to adapt to existing defense schemes [li2022learning]. This makes defenses more difficult, especially without knowing the type and principle of attacks. Therefore, there is still great potential to improve and promote the security level of FL in wireless communications. Figure 1: The examples of tunable cooperation in FL and their applications to FL-based wireless networks. The left part shows the applications and vulnerabilities of FL in wireless networks. The right part shows examples of tunable cooperation in existing personalized FL techniques. By changing the parameters related to the cooperation degree, given personalized FL techniques will convert between fully cooperative FL and fully personalized independent learning. Personalized FL schemes have been proposed by academia as effective solutions to the problem of local data and problem-setting heterogeneity in FL. A thorough survey is presented in [tan2022towards] on recent advances in personalized FL and gives a taxonomy of personalized FL techniques in terms of personalization strategies. However, most existing studies focus on describing detailed implementations of different personalized FL approaches, with limited exploration of the commonalities in these designs. After an exhaustive investigation of the personalized FL, we propose a new understanding of the essence of existing personalized FL frameworks. To the best of our knowledge, this is the first time that the tunable cooperation concept in personalized FL is proposed and discussed. In our view, the traditional FL schemes create a fixed cooperative paradigm for multiple independent participants. Participants must be fully committed to the cooperation and share the same cooperation output. On this basis, personalized FL methods create more flexible cooperative paradigms by introducing parameters that regulate the closeness degree of cooperation between participants. Therefore, we conclude that cooperation and personalization in FL are two ends of a seesaw. By controlling the parameters representing the degree of personalization and cooperation, it is possible to control which side of the seesaw is higher according to the problem and environment settings, thus realizing tunable cooperation in FL. Motivated by the above ideas, we introduce a flexible choice-based FL framework that dynamically adjusts the degree of cooperation and personalization of participants during the use of FL. It is also a more equitable and safer framework that allows participants to not cooperate when they feel unsafe or unable to benefit from cooperation. Note that, our choice-based FL can not only be used to solve the heterogeneity problem of traditional FL but also can be applied to noise and security concerns. When the system is under attack, participants will be more inclined to personalized training to avoid interference from attacks and noise. Through these structural changes, FL is given a higher degree of flexibility and can be more widely used in wireless networks. The contributions of this work are three-fold: First, we present an up-to-date survey of FL in wireless networks and illustrate the benefits and concerns of FL. Second, we provide a new perspective on the commonalities of existing personalized FL algorithms and propose the concept of tunable cooperation. Based on this concept, we introduce a flexible choice-based FL framework that solves major concerns of FL, including heterogeneity, fairness, and poisoning attacks. Third, we provide a case study of implementing a choice-based FL framework with clustering and knowledge distillation scheme under a cell sleep control scenario. By testing the framework with heterogeneous data and intelligent attacks, we prove the superiority of choice-based FL in terms of robustness and security. The remainder of this work is organized as follows. Section II explains the benefits and vulnerabilities of FL in wireless networks. Section III presents the tunable cooperation concept in personalized FL. Section IV introduces the choice-based FL framework and shows how it solves the vulnerabilities of FL. Section V demonstrates our case study and Section VI concludes the paper."
